w_l,w_s,w_r,apple_x,apple_y,tail_x,tail_y,Q_k_l,k_l,Q_k_s,k_s,Q_k_r,k_r
0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,1.65,8.0,1.65,8.0,1.7,7.0
1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0999999999999996,8.0,-1.0,4.0,-14.75,167.0
1.0,1.0,0.0,-1.0,1.0,-1.0,1.0,1.7,30.0,0.05,3.0,0.0,3.0
1.0,0.0,1.0,-1.0,1.0,-1.0,1.0,-0.85,4.0,1.4,130.0,-0.95,4.0
1.0,0.0,0.0,-1.0,1.0,-1.0,1.0,1.0,363.0,1.5,528.0,-0.95,4.0
0.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.1,3.0,0.05,3.0,1.5,16.0
0.0,1.0,0.0,-1.0,1.0,-1.0,1.0,1.35,34.0,0.0,3.0,1.15,30.0
0.0,0.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,4.0,-5.599999999999969,747.0,-0.5500000000000006,69.0
0.0,0.0,0.0,-1.0,1.0,-1.0,1.0,0.1499999999999993,83.0,15.349999999999984,5779.0,0.0999999999999994,63.0
1.0,1.0,1.0,0.0,-1.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0
1.0,0.0,1.0,0.0,-1.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,0.0,-1.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,1.0,0.0,-1.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,-1.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,1.0,0.0,-1.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,5.15,10.0,1.85,4.0,1.85,4.0
1.0,1.0,1.0,0.0,0.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,0.0,0.0,0.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,1.0,0.0,0.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,1.0,0.0,0.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,0.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,1.0,0.0,0.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,1.0,0.0,1.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,0.0,0.0,1.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,1.0,0.0,1.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,0.0,1.0,-1.0,1.0,2.0,1.0,2.0,1.0,1.05,2.0
0.0,1.0,1.0,0.0,1.0,-1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0
0.0,1.0,0.0,0.0,1.0,-1.0,1.0,1.95,2.0,1.0,2.0,2.0,3.0
0.0,0.0,1.0,0.0,1.0,-1.0,1.0,0.0,3.0,1.4,13.0,2.0,17.0
0.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.6,9.0,1.6,9.0,3.05,16.0
1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,2.0,1.0,2.0,0.1,3.0
1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,1.9,4.0,1.0,2.0,1.05,2.0
1.0,0.0,1.0,1.0,-1.0,-1.0,1.0,1.05,2.0,1.95,3.0,1.05,2.0
1.0,0.0,0.0,1.0,-1.0,-1.0,1.0,1.6,10.0,197.4500000000005,1160.0,0.0,3.0
0.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,3.0,0.0,3.0,2.0,63.0
0.0,1.0,0.0,1.0,-1.0,-1.0,1.0,0.8999999999999999,23.0,0.0,3.0,1.95,50.0
0.0,0.0,1.0,1.0,-1.0,-1.0,1.0,0.0,3.0,0.3999999999999996,33.0,1.95,142.0
0.0,0.0,0.0,1.0,-1.0,-1.0,1.0,1.85,13.0,1042.4000000000028,5420.0,1.4999999999999996,11.0
1.0,1.0,1.0,1.0,0.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,0.0,1.0,0.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,1.0,1.0,0.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,1.0,0.0,-1.0,1.0,1.85,4.0,2.0,4.0,1.0,2.0
0.0,1.0,1.0,1.0,0.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,1.0,0.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,1.0,1.0,0.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,0.0,1.0,0.0,-1.0,1.0,1.9,3.0,3.05,4.0,1.9,3.0
1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.1,6.0,-0.95,4.0,-5.3500000000000005,30.0
1.0,1.0,0.0,1.0,1.0,-1.0,1.0,2.650000000000001,14.0,0.0,3.0,0.0,3.0
1.0,0.0,1.0,1.0,1.0,-1.0,1.0,0.1,3.0,1.9,4.0,1.0,2.0
1.0,0.0,0.0,1.0,1.0,-1.0,1.0,28.6,99.0,1.65,13.0,0.1,3.0
0.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,3.0,0.1,3.0,2.0,12.0
0.0,1.0,0.0,1.0,1.0,-1.0,1.0,1.95,3.0,1.0,2.0,2.0,2.0
0.0,0.0,1.0,1.0,1.0,-1.0,1.0,0.0,3.0,0.2499999999999996,289.0,0.4999999999999993,564.0
0.0,0.0,0.0,1.0,1.0,-1.0,1.0,102.05000000000044,1043.0,0.5499999999999996,159.0,2.5500000000000207,732.0
1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,2.0,3.0,1.9,3.0,1.0,2.0
0.0,1.0,1.0,-1.0,-1.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,2.0,1.0,1.0,2.0,2.0,1.0
0.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,0.1,3.0,1.55,10.0,1.5,11.0
0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,2.0,9.0,1.7,7.0,1.7,7.0
1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
